sample_name	group	preferred_samplename
KS1	WTWT_CONT	WTWT_CONT_1
KS2	WTWT_CONT	WTWT_CONT_2
KS3	WTWT_CONT	WTWT_CONT_3
KS4	WTWT_CONT	WTWT_CONT_4
KS5	WTWT_CONT	WTWT_CONT_5
KS6	WTWT_DIAB	WTWT_DIAB_1
KS7	WTWT_DIAB	WTWT_DIAB_2
KS8	WTWT_DIAB	WTWT_DIAB_3
KS9	WTWT_DIAB	WTWT_DIAB_4
KS10	GLPWT_CON	GLPWT_CON_1
KS11	GLPWT_CON	GLPWT_CON_2
KS12	GLPWT_CON	GLPWT_CON_3
KS13	GLPWT_CON	GLPWT_CON_4
KS14	GLPWT_CON	GLPWT_CON_5
KS15	GLPWT_DIAB	GLPWT_DIAB_1
KS16	GLPWT_DIAB	GLPWT_DIAB_2
KS17	GLPWT_DIAB	GLPWT_DIAB_3
KS18	GLPWT_DIAB	GLPWT_DIAB_4
KS19	GLPWT_DIAB	GLPWT_DIAB_5
KS20	GLPGLP_CONT	GLPGLP_CONT_1
KS21	GLPGLP_CONT	GLPGLP_CONT_2
KS22	GLPGLP_CONT	GLPGLP_CONT_3
KS23	GLPGLP_CONT	GLPGLP_CONT_4
KS24	GLPGLP_DIAB	GLPGLP_DIAB_1
KS25	GLPGLP_DIAB	GLPGLP_DIAB_2
KS26	GLPGLP_DIAB	GLPGLP_DIAB_3
KS27	GLPGLP_DIAB	GLPGLP_DIAB_4
KS28	GLPGLP_DIAB	GLPGLP_DIAB_5
KS29	WTGLP_CONT	WTGLP_CONT_1
KS30	WTGLP_CONT	WTGLP_CONT_2
KS31	WTGLP_CONT	WTGLP_CONT_3
KS32	WTGLP_CONT	WTGLP_CONT_4
KS33	WTGLP_CONT	WTGLP_CONT_5
KS34	WTGLP_DIAB	WTGLP_DIAB_1
KS35	WTGLP_DIAB	WTGLP_DIAB_2
KS36	WTGLP_DIAB	WTGLP_DIAB_3
KS37	WTGLP_DIAB	WTGLP_DIAB_4
KS38	WT_CONT	WT_CONT_1
KS39	WT_CONT	WT_CONT_2
KS40	WT_CONT	WT_CONT_3
KS41	WT_CONT	WT_CONT_4
KS42	WT_CONT	WT_CONT_5
KS43	WT_DIAB	WT_DIAB_1
KS44	WT_DIAB	WT_DIAB_2
KS45	WT_DIAB	WT_DIAB_3
KS46	WT_DIAB	WT_DIAB_4
KS47	WT_DIAB	WT_DIAB_5
KS48	GLP_CONT	GLP_CONT_1
KS49	GLP_CONT	GLP_CONT_2
KS50	GLP_CONT	GLP_CONT_3
KS51	GLP_CONT	GLP_CONT_4
KS52	GLP_CONT	GLP_CONT_5
KS53	GLP_DIAB	GLP_DIAB_1
KS54	GLP_DIAB	GLP_DIAB_2
KS55	GLP_DIAB	GLP_DIAB_3
KS56	GLP_DIAB	GLP_DIAB_4
KS57	GLP_DIAB	GLP_DIAB_5
